...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
486,7603019,RSUD KONDO SAPATA,3,0,0,0,1,0,0,0,2,0,0,0,JANUARI,MAMASA,BALLA,2023
503,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,LARIANG,2023
514,7601004,UPT PUSKESMAS PASANGKAYU 1,4,0,0,3,0,0,0,0,1,0,0,0,JANUARI,PASANGKAYU,PASANGKAYU,2023
517,7601016,RSUD Kabupaten Pasangkayu,11,0,0,2,0,0,0,0,0,6,0,3,JANUARI,PASANGKAYU,PASANGKAYU,2023
534,760202501,Pustu Kalonding,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,SAMPAGA,2023
547,7602012,PUSKESMAS TOPORE,4,0,1,2,1,0,0,0,0,0,0,0,JANUARI,MAMUJU,PAPALANG,2023
587,760300101,Pustu Sendana,1,0,0,0,0,0,0,0,1,0,0,0,JANUARI,MAMASA,MAMBI,2023
598,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,NOSU,2023
630,7602020,Puskesmas Tampa Padang,7,0,0,5,1,0,0,0,1,0,0,0,JANUARI,MAMUJU,KALUKKU,2023
636,7602022,Puskesmas Ranga- Ranga,8,0,1,4,2,1,0,0,0,0,0,0,JANUARI,MAMUJU,KALUKKU,2023
662,7602030,PKM Bonehau Mesa Kada,2,0,0,2,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,BONEHAU,2023
679,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,TAWALIAN,2023
708,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,TAPALANG,2023
712,760202601,Pustu Taan,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,TAPALANG,2023
717,7603004,PUSKESMAS PANA',8,0,0,0,0,0,0,0,8,0,0,0,JANUARI,MAMASA,PANA,2023
718,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,PANA,2023
732,760300608,PUSTU TABONE,1,0,0,0,0,0,0,0,1,0,0,0,JANUARI,MAMASA,SUMARORONG,2023
756,7602009,PUSKESMAS BAMBU,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,MAMUJU,2023
763,7603015,PUSKESMAS RANTEBULAHAN TIMUR,1,0,0,0,0,0,0,0,1,0,0,0,JANUARI,MAMASA,RANTEBULAHAN TIMUR,2023
775,760101201,Pustu Kumasari,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,SARUDU,2023
784,760100704,POSKESDES PAJALELE,3,0,2,0,0,0,0,0,1,0,0,0,JANUARI,PASANGKAYU,TIKKE RAYA,2023
785,7601007,UPT PUSKESMAS TIKKE,4,0,0,0,1,2,0,0,1,0,0,0,JANUARI,PASANGKAYU,TIKKE RAYA,2023
799,7601001,UPT PUSKESMAS SARJO,2,0,0,2,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,SARJO,2023
808,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,TABANG,2023
817,7601011,UPT PUSKESMAS BARAS 2,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,BARAS,2023
