KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,2,0,1,0,1,0,0,0,0,0,0,0,FEBRUARI,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,40,0,0,0,5,0,0,0,0,21,0,14,FEBRUARI,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,8,0,2,5,0,0,0,0,1,0,0,0,FEBRUARI,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,3,0,0,1,0,0,0,0,2,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,1,0,1,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,6,0,1,0,1,0,1,1,0,0,0,2,FEBRUARI,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,1,1,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,3,0,0,0,3,0,0,0,0,0,0,0,MARET,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,1,0,0,1,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
